,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
8996,TXN_1066604,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-05-18
5769,TXN_1067052,Tea,4.0,1.5,6.0,Cash,Takeaway,2023-02-18
3425,TXN_1068317,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-03-16
5453,TXN_1072232,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-01-07
6353,TXN_1072678,Juice,2.0,3.0,6.0,Cash,In-store,2023-05-30
7204,TXN_1072984,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-01-11
3703,TXN_1074435,Coffee,1.0,2.0,2.0,Cash,In-store,2023-11-25
1635,TXN_1075183,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-01-09
4271,TXN_1075446,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-17
3780,TXN_1075969,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-13
3631,TXN_1077060,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-08-22
273,TXN_1077129,Cookie,1.0,1.0,1.0,Cash,In-store,2023-09-12
681,TXN_1079239,Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-02-08
7017,TXN_1079241,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-07-16
5345,TXN_1079844,Salad,2.0,5.0,10.0,Digital Wallet,In-store,2023-10-27
5033,TXN_1080377,Cake,2.0,3.0,6.0,Cash,In-store,2023-04-08
37,TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29
3648,TXN_1082012,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-01-04
1484,TXN_1082421,Salad,1.0,5.0,5.0,Digital Wallet,In-store,2023-12-19
8535,TXN_1084010,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-08-11
5981,TXN_1084222,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-06-03
5469,TXN_1086324,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-11-25
6937,TXN_1088497,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-07-05
743,TXN_1090854,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-01-07
7343,TXN_1091115,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-11-04
9417,TXN_1091243,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-01-06
5094,TXN_1093668,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-05-18
160,TXN_1093800,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-18
4057,TXN_1094145,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-03-15
5558,TXN_1094479,Cake,3.0,3.0,9.0,Cash,In-store,2023-06-08
1252,TXN_1096690,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-10-09
3343,TXN_1097334,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-03-21
8592,TXN_1099119,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-02-09
5167,TXN_1101527,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-04-20
7655,TXN_1102876,Cookie,1.0,1.0,1.0,Cash,In-store,2023-04-20
7938,TXN_1103495,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-08-09
7622,TXN_1103883,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-08-09
987,TXN_1104849,Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-07-05
1269,TXN_1105589,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-07-04
8791,TXN_1108326,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-07-04
2215,TXN_1108663,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-16
575,TXN_1109715,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-07-15
979,TXN_1116119,Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-08-07
3659,TXN_1118799,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-09-19
6035,TXN_1120969,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-04-15
8826,TXN_1121833,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-03-16
940,TXN_1122140,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-06-19
8745,TXN_1122699,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-10-14
3775,TXN_1122700,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-09
615,TXN_1123138,Salad,1.0,5.0,5.0,Cash,In-store,2023-02-10
6199,TXN_1123346,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-07-31
5390,TXN_1124311,Cookie,1.0,1.0,1.0,Cash,In-store,2023-05-05
6999,TXN_1124655,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-10-23
603,TXN_1124753,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-10-19
4760,TXN_1124796,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-10-28
9461,TXN_1124900,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-09-08
6485,TXN_1128577,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-11-23
4000,TXN_1130142,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-03-13
352,TXN_1130191,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-04-06
6847,TXN_1131785,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-12-19
9290,TXN_1132293,Tea,4.0,1.5,6.0,Cash,Takeaway,2023-07-05
2805,TXN_1132566,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-02-27
4789,TXN_1133945,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-10-23
5564,TXN_1135215,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-04-10
2859,TXN_1135761,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-01-30
181,TXN_1136554,Smoothie,3.0,4.0,12.0,Cash,Takeaway,2023-03-26
2901,TXN_1139495,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-02-19
7858,TXN_1141405,Cookie,1.0,1.0,1.0,Cash,Takeaway,2023-02-19
8881,TXN_1141920,Coffee,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-10-26
9496,TXN_1142233,Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-09-01
2535,TXN_1145592,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-11
2697,TXN_1145888,Coffee,4.0,2.0,8.0,Cash,In-store,2023-01-26
9266,TXN_1148060,Cookie,5.0,1.0,5.0,Cash,Takeaway,2023-10-12
5436,TXN_1148874,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-09-18
1021,TXN_1148945,Coffee,1.0,2.0,2.0,Cash,In-store,2023-09-05
7813,TXN_1149624,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-09-14
133,TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18
6555,TXN_1151605,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-05-02
3516,TXN_1152249,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-05-09
270,TXN_1153869,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03
1302,TXN_1154979,Coffee,3.0,2.0,6.0,Credit Card,In-store,2023-12-11
291,TXN_1157817,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25
2781,TXN_1158197,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-05-21
333,TXN_1158829,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-10-02
9122,TXN_1161606,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-09-20
3774,TXN_1165762,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-10-22
3794,TXN_1165779,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-06-30
9278,TXN_1166001,Cake,5.0,3.0,15.0,Cash,In-store,2023-06-30
9934,TXN_1169615,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-03-16
4646,TXN_1170198,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-02-09
7176,TXN_1170807,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-09-15
5370,TXN_1171080,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-07-29
3897,TXN_1171281,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-02-06
6210,TXN_1172121,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-26
5703,TXN_1173155,Coffee,1.0,2.0,2.0,Cash,In-store,2023-03-14
3238,TXN_1177438,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-08-21
9093,TXN_1180397,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-04-05
8641,TXN_1180623,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-09-23
1315,TXN_1180969,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-01-06
3321,TXN_1181626,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-02-06
9895,TXN_1183208,Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-08-26
2055,TXN_1183212,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-30
557,TXN_1183995,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-28
4667,TXN_1184377,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-10-25
9923,TXN_1184715,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-09-10
8731,TXN_1185003,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-01-06
8596,TXN_1185069,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-02-21
1889,TXN_1185118,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-02-21
5131,TXN_1185156,Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-03-23
4849,TXN_1186221,Salad,4.0,5.0,20.0,Cash,Takeaway,2023-04-21
5088,TXN_1188551,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-03-20
3100,TXN_1188596,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-10-24
4442,TXN_1190151,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-08-14
9711,TXN_1190402,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-12-01
6716,TXN_1191068,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-19
9954,TXN_1191659,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-11-21
9161,TXN_1192009,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-05-18
7766,TXN_1192970,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-06-17
5208,TXN_1193221,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-21
9379,TXN_1193551,Cookie,1.0,1.0,1.0,Cash,Takeaway,2023-01-07
3621,TXN_1193809,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-01-21
5839,TXN_1193930,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-01-21
9100,TXN_1196223,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-10-14
6602,TXN_1196324,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-09-26
4390,TXN_1196923,Smoothie,2.0,4.0,8.0,Cash,Takeaway,2023-04-27
4339,TXN_1197495,Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-04-27
5303,TXN_1197536,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-10-02
6551,TXN_1199898,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-10-26
1220,TXN_1200795,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-08-18
3604,TXN_1203191,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-10-12
2042,TXN_1203954,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-08-12
6066,TXN_1204426,Sandwich,3.0,4.0,12.0,Credit Card,Takeaway,2023-01-16
5075,TXN_1205020,Tea,5.0,1.5,7.5,Cash,Takeaway,2023-10-03
4673,TXN_1205522,Cake,5.0,3.0,15.0,Digital Wallet,In-store,2023-12-26
5676,TXN_1205610,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-07-19
6451,TXN_1205773,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-01-27
5605,TXN_1206585,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-06-29
6172,TXN_1208926,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-12-07
9236,TXN_1209852,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-11-18
9721,TXN_1210058,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-11-25
3555,TXN_1210183,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-01-23
2580,TXN_1212652,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-01-30
9527,TXN_1213938,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-07-06
2607,TXN_1214868,Juice,4.0,3.0,12.0,Cash,In-store,2023-07-30
2681,TXN_1216051,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-10-28
6163,TXN_1217810,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-07-06
2871,TXN_1217959,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-07-28
2387,TXN_1218016,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-11-26
7296,TXN_1220061,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-09-03
2389,TXN_1221777,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-01-29
9258,TXN_1221801,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-06-17
306,TXN_1222338,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-10-11
2518,TXN_1223805,Juice,3.0,3.0,9.0,Cash,In-store,2023-07-04
4010,TXN_1224087,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-03-20
1724,TXN_1225638,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-05-28
4371,TXN_1226662,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-06-17
1865,TXN_1227800,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-02-19
8087,TXN_1228474,Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-20
3325,TXN_1228652,Salad,1.0,5.0,5.0,Cash,In-store,2023-07-24
7076,TXN_1228888,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-10-05
6663,TXN_1228927,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-11-28
3072,TXN_1229376,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-08-14
5155,TXN_1230311,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-08-14
8962,TXN_1231366,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-11-28
5358,TXN_1231531,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-07-24
9791,TXN_1232346,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-01-04
403,TXN_1234097,Cookie,4.0,1.0,4.0,Cash,In-store,2023-12-04
6617,TXN_1234390,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-02
6800,TXN_1234907,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-05-02
3873,TXN_1235828,Tea,4.0,1.5,6.0,Cash,Takeaway,2023-02-19
1172,TXN_1235969,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-07-08
7922,TXN_1236759,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-01-26
7022,TXN_1236779,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-12-29
9768,TXN_1237674,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-04
2444,TXN_1239021,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-09-15
3396,TXN_1239876,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-04-04
4542,TXN_1240476,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-04-20
8340,TXN_1242840,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-08-26
1574,TXN_1243964,Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-12-01
3362,TXN_1244299,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-07-18
3298,TXN_1244509,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-21
2666,TXN_1244593,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-04-11
4264,TXN_1244739,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-09-13
8566,TXN_1245485,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-05-15
4284,TXN_1247244,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-27
2380,TXN_1248167,Smoothie,1.0,4.0,4.0,Cash,Takeaway,2023-03-05
1860,TXN_1248266,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-10-14
2186,TXN_1248436,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-08-14
2236,TXN_1249069,Coffee,2.0,2.0,4.0,Cash,Takeaway,2023-01-22
2982,TXN_1250407,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-11-21
9363,TXN_1251960,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-11-20
4429,TXN_1252575,Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-10-16
4506,TXN_1253619,Juice,5.0,3.0,15.0,Cash,In-store,2023-05-25
8454,TXN_1254663,Coffee,3.0,2.0,6.0,Cash,In-store,2023-08-15
6048,TXN_1255476,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-08-28
8451,TXN_1256513,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-02-21
2902,TXN_1256536,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-16
9383,TXN_1256851,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-07-29
327,TXN_1259671,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-10-08
618,TXN_1259824,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-29
308,TXN_1260335,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-04-29
3511,TXN_1260517,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-04-17
4567,TXN_1261028,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-10-27
3720,TXN_1263426,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-10-20
5803,TXN_1266278,Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03
8475,TXN_1266598,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-04-05
5650,TXN_1267753,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-06-28
3183,TXN_1268480,Salad,5.0,5.0,25.0,Cash,In-store,2023-04-18
7902,TXN_1268811,Salad,1.0,5.0,5.0,Digital Wallet,In-store,2023-01-04
3542,TXN_1269172,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-08-22
3734,TXN_1269252,Cake,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-07-18
1973,TXN_1270603,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-03
7871,TXN_1272118,Cookie,4.0,1.0,4.0,Credit Card,Takeaway,2023-04-21
9812,TXN_1272815,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-08-07
5363,TXN_1275124,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-06-21
5872,TXN_1277813,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-09-11
8827,TXN_1277989,Tea,5.0,1.5,7.5,Cash,In-store,2023-08-09
4848,TXN_1278539,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-04-04
702,TXN_1279428,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-03-02
3615,TXN_1281536,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-03-19
1119,TXN_1282260,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-21
8855,TXN_1283149,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-01-23
4834,TXN_1285279,Coffee,2.0,2.0,4.0,Cash,Takeaway,2023-04-09
1116,TXN_1286779,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-04-13
296,TXN_1289133,Juice,1.0,3.0,3.0,Cash,In-store,2023-09-19
8202,TXN_1292430,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-03-09
8710,TXN_1292476,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-07
8240,TXN_1293057,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-07-03
6998,TXN_1293509,Juice,3.0,3.0,9.0,Cash,In-store,2023-07-03
5228,TXN_1294101,Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-03-31
4004,TXN_1295824,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-08-01
7110,TXN_1296879,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-11-17
7256,TXN_1297663,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-09-12
5192,TXN_1298084,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-01-02
8712,TXN_1299936,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-03-27
2282,TXN_1299959,Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-06-23
